Departamento,Area,Produccion,Rendimiento,ProduccionNacional,AreaNacional,Altitud,Temp,Humd,PREC_ETP,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
AMAZONAS,16.0,94.0,5.9,0.4,0.7,84.0,25.9,87.0,2.8,3.2,3.5,3.4,4.1,3.4,2.3,1.8,1.6,2.1,2.4,3.0,2.9
ANTIOQUIA,317.6,1670.8,5.0,5.1,10.8,756.5,24.6,77.0,1.7,0.7,0.7,0.9,1.9,2.4,2.1,1.6,1.6,2.1,2.4,2.2,1.6
ATLANTICO,4.2,9.7,2.2,0.0,0.1,14.0,27.6,81.0,0.5,0.0,0.0,0.0,0.2,0.7,0.6,0.6,0.7,1.2,1.4,0.8,0.3
BOLIVAR,20.3,214.1,11.7,0.7,0.6,2.0,27.8,81.0,0.7,0.0,0.0,0.0,0.2,0.9,0.8,0.8,0.9,1.1,2.0,1.4,0.4
BOYACA,179.2,2568.9,14.6,6.3,4.7,2595.0,13.6,77.5,0.6,0.2,0.3,0.5,0.9,1.0,0.7,0.6,0.4,0.6,1.0,0.9,0.3
CALDAS,71.2,658.8,10.3,2.1,2.2,2062.0,17.0,83.0,1.5,1.1,1.0,1.4,2.0,1.9,1.3,0.7,0.8,1.5,2.5,2.2,1.5
CASANARE,6.6,129.9,10.6,0.6,0.2,325.0,26.4,75.0,1.5,0.0,0.3,0.7,2.1,3.2,3.1,3.0,2.4,2.2,1.9,1.0,0.2
CAUCA,8.7,103.4,9.8,0.3,0.3,1757.0,19.3,78.0,1.9,2.1,1.8,2.1,2.2,1.9,0.9,0.5,0.5,1.1,2.8,4.0,3.0
CESAR,15.0,103.3,6.0,0.3,0.4,138.0,29.0,67.0,0.5,0.0,0.0,0.1,0.4,1.1,0.5,0.3,0.7,0.8,1.3,0.8,0.2
CHOCO,1.5,2.6,1.7,0.0,0.0,53.0,26.6,86.0,6.8,6.0,5.4,5.5,7.3,7.2,7.5,7.5,7.8,6.8,5.9,7.4,7.2
CORDOBA,12.9,127.5,8.7,0.6,0.5,36.0,28.1,80.0,1.0,0.1,0.1,0.2,0.9,1.8,1.5,1.6,1.5,1.8,1.3,1.0,0.4
CUNDINAMARCA,96.9,1090.0,11.5,4.2,3.4,2003.5,17.0,80.0,1.0,0.7,0.8,1.2,1.4,1.4,0.8,0.5,0.4,0.8,1.4,1.5,1.1
HUILA,200.9,1859.7,8.6,5.4,6.1,439.0,27.8,66.0,0.8,0.8,1.0,1.3,1.2,0.7,0.3,0.2,0.1,0.4,1.5,2.1,1.4
META,120.7,892.6,7.3,2.6,3.7,423.0,25.6,77.0,3.5,0.5,1.2,2.0,5.1,6.8,6.0,4.8,3.7,3.6,4.3,4.0,1.7
NARIÑO,87.2,268.3,3.1,0.8,2.7,2916.0,12.0,81.5,0.9,0.9,0.9,1.1,1.2,1.0,0.7,0.5,0.4,0.6,1.0,1.3,1.2
NORTE DE SANTANDER,9.3,40.7,4.0,0.1,0.3,250.0,27.2,71.0,0.5,0.4,0.4,0.5,0.8,0.5,0.2,0.2,0.2,0.4,0.9,1.0,0.7
QUINDIO,4.2,46.6,11.1,0.2,0.2,1247.0,22.1,80.0,1.8,1.4,1.5,1.8,2.7,2.3,1.7,1.0,0.8,1.8,2.5,2.9,1.9
RISARALDA,142.5,3107.0,21.6,11.1,5.1,1367.0,21.5,77.0,1.9,1.2,1.2,1.9,2.4,2.5,1.9,1.2,1.0,1.8,2.7,2.9,2.0
SAN ANDRES Y PROVIDENCIA,0.1,0.5,4.3,0.0,0.0,1.0,27.5,83.0,1.2,0.6,0.3,0.2,0.2,1.1,1.7,1.4,1.5,1.8,2.7,2.6,1.2
SANTANDER,444.0,5638.6,12.4,17.1,13.6,657.5,24.7,82.0,1.5,0.5,1.0,1.3,1.9,2.1,1.5,1.2,1.4,1.8,2.4,2.0,0.9
SUCRE,2.4,2.9,0.5,0.0,0.1,166.0,27.5,80.0,0.8,0.2,0.2,0.3,0.8,1.3,1.2,1.1,1.1,1.2,1.2,0.8,0.4
TOLIMA,917.3,8135.4,8.7,25.3,28.5,679.5,26.1,73.5,1.0,0.6,0.8,1.1,1.7,1.8,0.8,0.4,0.4,1.1,1.5,1.4,0.9
VALLE DEL CAUCA,450.5,4453.5,9.8,17.4,16.9,14.0,26.0,89.0,6.3,4.9,3.6,4.0,5.5,6.6,6.0,6.0,6.5,8.2,8.6,8.6,6.9
VICHADA,69.3,378.3,7.7,1.8,3.0,50.0,28.5,71.0,1.4,0.1,0.1,0.3,1.2,2.5,4.5,4.5,3.0,1.8,1.4,0.9,0.3
